Seed,Ratio,Mode,Classifier,AUC,F1
1,20%,No-SLTE,Naive Bayes,0.6327034990323271,0.15126347411203392
1,20%,No-SLTE,Decision Tree,0.7164498214996065,0.4388980159231644
1,20%,No-SLTE,Random Forest,0.703570609745642,0.22973386356684
1,20%,No-SLTE,Gradient Boosting,0.724966651805178,0.0008954555630176853
1,20%,SLTE,Logistic Regression,0.6540283382580425,0.41141778721396555
1,20%,SLTE,Naive Bayes,0.6268729551485763,0.25830461750516887
1,20%,SLTE,Decision Tree,0.7109748727580282,0.435263060961385
1,20%,SLTE,Random Forest,0.702891367090346,0.23094617389970865
1,20%,SLTE,Gradient Boosting,0.7226213580718708,0.0004478280340349306
1,40%,No-SLTE,Logistic Regression,0.6455989893476752,0.3947151114781173
1,40%,No-SLTE,Naive Bayes,0.6279868684070558,0.0889241762604208
1,40%,No-SLTE,Decision Tree,0.7084638475245819,0.43854940390737157
1,40%,No-SLTE,Random Forest,0.7020009412106739,0.21714833147054127
1,40%,No-SLTE,Gradient Boosting,0.7206713527591172,0.0
1,40%,SLTE,Logistic Regression,0.6418279374346573,0.3886126126126126
1,40%,SLTE,Naive Bayes,0.6195132296198506,0.32630067380978683
1,40%,SLTE,Decision Tree,0.7060880664075913,0.43507120444122616
1,40%,SLTE,Random Forest,0.7017285229143225,0.21076305220883534
1,40%,SLTE,Gradient Boosting,0.7186890188837406,0.0
1,60%,No-SLTE,Logistic Regression,0.6341630841133837,0.3779504684436052
1,60%,No-SLTE,Naive Bayes,0.6162514604993217,0.048131728942368585
1,60%,No-SLTE,Decision Tree,0.6992332810286142,0.4375957355554194
1,60%,No-SLTE,Random Forest,0.6955618622918021,0.1814166808221505
1,60%,No-SLTE,Gradient Boosting,0.7130552525863866,0.0004478280340349306
1,60%,SLTE,Logistic Regression,0.6359036711939859,0.37924841116330477
1,60%,SLTE,Naive Bayes,0.6175253658587625,0.27849740932642486
1,60%,SLTE,Decision Tree,0.6960088878405597,0.43014165638041496
1,60%,SLTE,Random Forest,0.6968297806452426,0.17533585945573546
1,60%,SLTE,Gradient Boosting,0.7149201382920929,0.0017897091722595079
1,80%,No-SLTE,Logistic Regression,0.6138434650997802,0.35963022172794884
1,80%,No-SLTE,Naive Bayes,0.5910143699825969,0.031041172666522957
1,80%,No-SLTE,Decision Tree,0.6861424162321992,0.4249404800205907
1,80%,No-SLTE,Random Forest,0.6800571801610608,0.1260932944606414
1,80%,No-SLTE,Gradient Boosting,0.7022200859467407,0.0
1,80%,SLTE,Logistic Regression,0.6251367615018576,0.36704496480390747
1,80%,SLTE,Naive Bayes,0.6101497300044412,0.19555699691908546
1,80%,SLTE,Decision Tree,0.6838402314816507,0.42552939082982383
1,80%,SLTE,Random Forest,0.6898001911981793,0.11735849056603774
1,80%,SLTE,Gradient Boosting,0.7097657895950483,0.0026827632461435278
1,100%,No-SLTE,Logistic Regression,0.5888526862318214,0.3406160944497218
